flux,seed,variant,lz_rate,RR_iqr0.1,RR_iqr0.3,RR_iqr0.5
0.0,7,base,0.1182222222222222,0.16909436478826276,0.3607451372679782,0.5132484161387129
0.0,7,+3dB,0.1182222222222222,0.16909436478826276,0.3607451372679782,0.5132484161387129
0.0,7,0.8x,0.1182222222222222,0.16909436478826276,0.3607451372679782,0.5132484161387129
0.0,7,down2,0.17599999999999996,0.16436389907747026,0.3587671446037568,0.5135431810603535
0.0,7,bin_mean,0.015999999999999997,0.5044428142714238,0.5044428142714238,0.5044428142714238
0.0,21,base,0.10666666666666665,0.1715025008336112,0.3672588640657997,0.5167271312659776
0.0,21,+3dB,0.10666666666666665,0.1715025008336112,0.3672588640657997,0.5167271312659776
0.0,21,0.8x,0.10666666666666665,0.1715025008336112,0.3672588640657997,0.5167271312659776
0.0,21,down2,0.16888888888888887,0.16681982883183283,0.36423518950761363,0.5141407135711904
0.0,21,bin_mean,0.015999999999999997,0.5045717461376015,0.5045717461376015,0.5045717461376015
0.0,37,base,0.10755555555555553,0.16644726019784373,0.36204846059797713,0.5143034344781594
0.0,37,+3dB,0.10755555555555553,0.16644726019784373,0.36204846059797713,0.5143034344781594
0.0,37,0.8x,0.10755555555555553,0.16644726019784373,0.36204846059797713,0.5143034344781594
0.0,37,down2,0.17066666666666663,0.16787418028231632,0.36388196065355116,0.5142142936534401
0.0,37,bin_mean,0.015999999999999997,0.5040055574080249,0.5040055574080249,0.5040055574080249
0.0002,7,base,0.11377777777777776,0.1601295987551406,0.35638123819050793,0.5088073802378571
0.0002,7,+3dB,0.11377777777777776,0.1601295987551406,0.35638123819050793,0.5088073802378571
0.0002,7,0.8x,0.11377777777777776,0.1601295987551406,0.35638123819050793,0.5088073802378571
0.0002,7,down2,0.1635555555555555,0.1626597754807158,0.3570072246304324,0.5113217739246415
0.0002,7,bin_mean,0.015999999999999997,0.5021916194286985,0.5021916194286985,0.5021916194286985
0.0002,21,base,0.11288888888888887,0.16224030232299655,0.35858619539846615,0.509081249305324
0.0002,21,+3dB,0.11288888888888887,0.16224030232299655,0.35858619539846615,0.509081249305324
0.0002,21,0.8x,0.11288888888888887,0.16224030232299655,0.35858619539846615,0.509081249305324
0.0002,21,down2,0.1742222222222222,0.16503345559630989,0.36117972657552516,0.5115467378014894
0.0002,21,bin_mean,0.015999999999999997,0.5051052573079916,0.5051052573079916,0.5051052573079916
0.0002,37,base,0.1173333333333333,0.1592586417694787,0.3538223852395243,0.5072853173279982
0.0002,37,+3dB,0.1173333333333333,0.1592586417694787,0.3538223852395243,0.5072853173279982
0.0002,37,0.8x,0.1173333333333333,0.1592586417694787,0.3538223852395243,0.5072853173279982
0.0002,37,down2,0.1724444444444444,0.16261264866066466,0.3560397910414583,0.5102856507724797
0.0002,37,bin_mean,0.015999999999999997,0.5037654773813494,0.5037654773813494,0.5037654773813494
0.0008,7,base,0.11111111111111109,0.16569367566966767,0.35978748471712796,0.5126782260753584
0.0008,7,+3dB,0.11111111111111109,0.16569367566966767,0.35978748471712796,0.5126782260753584
0.0008,7,0.8x,0.11111111111111109,0.16569367566966767,0.35978748471712796,0.5126782260753584
0.0008,7,down2,0.18488888888888885,0.16319951094809382,0.3589894409247527,0.5102580860286762
0.0008,7,bin_mean,0.015999999999999997,0.504379015227298,0.504379015227298,0.504379015227298
0.0008,21,base,0.1182222222222222,0.16427809269756585,0.36066044236967876,0.5080324552628654
0.0008,21,+3dB,0.1182222222222222,0.16427809269756585,0.36066044236967876,0.5080324552628654
0.0008,21,0.8x,0.1182222222222222,0.16427809269756585,0.36066044236967876,0.5080324552628654
0.0008,21,down2,0.19199999999999995,0.16329465377348004,0.3585775258419473,0.5103490052239635
0.0008,21,bin_mean,0.015999999999999997,0.502378348338335,0.502378348338335,0.502378348338335
0.0008,37,base,0.11377777777777776,0.1687780371234856,0.36277181282649773,0.5136821162609759
0.0008,37,+3dB,0.11377777777777776,0.1687780371234856,0.36277181282649773,0.5136821162609759
0.0008,37,0.8x,0.11377777777777776,0.1687780371234856,0.36277181282649773,0.5136821162609759
0.0008,37,down2,0.18666666666666662,0.16350716905635213,0.3588016005335112,0.5118063799044126
0.0008,37,bin_mean,0.015999999999999997,0.502056240969212,0.502056240969212,0.502056240969212
